,kNN,k-means,RBF,GMM
count,241.0,241.0,241.0,241.0
mean,0.7793234774575869,0.8702356586733913,0.9994462296695001,0.8827623401984237
std,0.2028073634663527,0.16830991376877436,0.0010114704335497076,0.1265214036865772
min,0.05140610222632825,0.12049991158457377,0.9939397219563322,0.24191455616653215
25%,0.7394233474931093,0.8676938699768656,0.999520470318282,0.8616017401957586
50%,0.8329600927995672,0.9215742051721681,0.9997902733042031,0.9126676204535806
75%,0.9090964282869846,0.9594420960102404,0.9999006876010025,0.9524701192645294
max,0.9949629088513069,0.9934838218872023,0.9999885237400441,0.9982862744505933
