,DELVE_kNN,DELVE_k-means,DELVE_RBF,DELVE_GMM
Int_Med_pSTAT3_nuc,0.9350209161921296,0.9617909335096101,0.9997638873086335,0.9677146149846425
Int_MeanEdge_RB_cell,0.9381811235889279,0.9769930478014589,0.999959723326187,0.9251345483230826
Int_Med_pGSK3b_ring,0.9403845958707913,0.9846087632937089,0.9999007371591533,0.9805043092904226
Int_Med_pGSK3b_cyto,0.9403845958707913,0.9846087632937089,0.9999007371591533,0.9805043092904226
Int_Med_pGSK3b_cell,0.9425895341295051,0.9847948794943763,0.9999425152069636,0.9794926798567817
Int_Med_pRSK_ring,0.9426303379903447,0.9913725704949876,0.9999485410629438,0.9937404798750099
Int_Med_pRSK_cyto,0.9426303379903447,0.9913725704949876,0.9999485410629438,0.9937404798750099
Int_Med_pRSK_cell,0.9444640056227022,0.9910414440861494,0.9999548106152059,0.9923579490913128
Int_MeanEdge_pp65_cell,0.9455184521978729,0.9751253904134098,0.9999361905381783,0.9440532085397015
Int_MeanEdge_p16_cell,0.9459704300805483,0.9878925254221868,0.9999693897454152,0.9790115984205393
Int_MeanEdge_pp27_cell,0.9468406756594644,0.9644870126656194,0.9999505343649272,0.9617776695861191
Int_Med_cycE_cell,0.9472897242869769,0.9617819134190809,0.9998065734133214,0.960219753308
Int_MeanEdge_cycE_cell,0.9480441108454217,0.9678056720852992,0.9999050552854304,0.9608774784014167
Int_Med_BP1_cell,0.9489570734063429,0.965214558011526,0.9999615709787885,0.9292120421529877
Int_MeanEdge_pRSK_cell,0.9492499292246072,0.9934838218872023,0.99997555804538,0.9968198995629183
Int_Med_BP1_cyto,0.9509983638443522,0.9742143639899179,0.9999633648563302,0.9652573588926346
Int_Med_BP1_ring,0.9509983638443522,0.9742143639899179,0.9999633648563302,0.9652573588926346
Int_Med_E2F1_cell,0.9523328689274819,0.9805302210805117,0.9999567366334307,0.9954867914888247
Int_MeanEdge_BP1_cell,0.9528695595611746,0.9777012806680099,0.999970217707838,0.9487709781707807
Int_Med_RSK1_nuc,0.9529281244415881,0.9739274971826815,0.9999240832842006,0.9858959282739814
Int_Med_E2F1_ring,0.9537990167438115,0.9821562674040003,0.9999675056877606,0.9982862744505933
Int_Med_E2F1_cyto,0.9537990167438115,0.9821562674040003,0.9999675056877606,0.9982862744505933
Int_MeanEdge_RSK1_cell,0.9557158207694912,0.9740097002972744,0.9999764114273033,0.9675921595166298
Int_Med_cycE_ring,0.9557158697749893,0.9594420960102404,0.999828512729118,0.9717689497190978
Int_Med_cycE_cyto,0.9557158697749893,0.9594420960102404,0.999828512729118,0.9717689497190978
Int_MeanEdge_E2F1_cell,0.9573802167021896,0.978536522070021,0.9999730575703755,0.9966117667056339
Int_MeanEdge_p21_cell,0.9595990631975244,0.9736536363306727,0.9999730760753931,0.9520367757358414
Int_MeanEdge_pp53_cell,0.9622369258436665,0.9862496263418357,0.9999599114690658,0.9585696256778158
Int_Med_pRSK_nuc,0.9640603754467425,0.9849183670660921,0.999954879780394,0.9914745754282926
Int_MeanEdge_STAT3_cell,0.9673922484979989,0.9858397443655149,0.9999807139362806,0.9830973773149448
Int_MeanEdge_CDK6_cell,0.9693303379018696,0.9925131335006276,0.9999783755863514,0.9745760393071323
Int_Med_STAT3_cyto,0.9720127492431444,0.988240580552098,0.9999506815903606,0.982793100624082
Int_Med_STAT3_ring,0.9720127492431444,0.988240580552098,0.9999506815903606,0.982793100624082
Int_Med_STAT3_cell,0.9729969885835967,0.9858868758085236,0.9999600920859338,0.9758972307703507
Int_Med_pSTAT3_cell,0.9741421853787415,0.9782447727712004,0.9999787606637065,0.9728694799122316
Int_Med_pSTAT3_ring,0.9756149070526952,0.9789153606608472,0.9999853611877423,0.9812624417788596
Int_Med_pSTAT3_cyto,0.9756149070526952,0.9789153606608472,0.9999853611877423,0.9812624417788596
Int_Med_RSK1_ring,0.9787068161546288,0.9823237121610605,0.9999844883788009,0.9849794580103299
Int_Med_RSK1_cyto,0.9787068161546288,0.9823237121610605,0.9999844883788009,0.9849794580103299
Int_Med_RSK1_cell,0.9873281505434114,0.9863137643536924,0.9999884032258752,0.9771523330845254
Int_MeanEdge_pSTAT3_cell,0.9949629088513069,0.9916489293242771,0.9999885237400441,0.9818682767760178
