,kNN,k-means,RBF,GMM
kNN,0.9999999999999998,0.99997942415056,0.9999807101411501,0.9999783524917352
k-means,0.99997942415056,0.9999999999999998,0.9999789954870303,0.9999813531364451
RBF,0.9999807101411501,0.9999789954870303,0.9999999999999998,0.9999783524917352
GMM,0.9999783524917352,0.9999813531364451,0.9999783524917352,0.9999999999999998
